country,year,SHADOW,SHADOW_MIMIC,TAX,ACCOUNT,DIGPAY,POS_ATM,CASHLESS_VAL,CASH,GDPPC_USD,OPEN,UNEMP,INFL,REMIT,URBAN,MOBILE,REG_QUALITY,RULE_OF_LAW,INST,MOBILE_COVERAGE,BROADBAND
Uzbekistan,2007,,,,,,,,,,,,,,,,,,,,
Uzbekistan,2008,,,,,,,,,,,,,,,,,,,,
Uzbekistan,2009,,,,,,,,,,,,,,,,,,,,
Uzbekistan,2010,,,,,,,,,,,,,,,,,,,,
Uzbekistan,2011,,,,,,,,,,,,,,,,,,,,
Uzbekistan,2012,,,,,,,,,,,,,,,,,,,,
Uzbekistan,2013,,,,,,,,,,,,,,,,,,,,
Uzbekistan,2014,,,,,,,,,,,,,,,,,,,,
Uzbekistan,2015,,,,,,,,,,,,,,,,,,,,
Uzbekistan,2016,,,,,,,,,,,,,,,,,,,,
Uzbekistan,2017,,,,,,,,,,,,,,,,,,,,
Uzbekistan,2018,,,,,,,,,,,,,,,,,,,,
Uzbekistan,2019,,,,,,,,,,,,,,,,,,,,
Uzbekistan,2020,,,,,,,,,,,,,,,,,,,,
Uzbekistan,2021,,,,,,,,,,,,,,,,,,,,
Uzbekistan,2022,,,,,,,,,,,,,,,,,,,,
