country,year,SHADOW,SHADOW_MIMIC,TAX,ACCOUNT,DIGPAY,POS_ATM,CASHLESS_VAL,CASH,GDPPC_USD,OPEN,UNEMP,INFL,REMIT,URBAN,MOBILE,REG_QUALITY,RULE_OF_LAW,INST,MOBILE_COVERAGE,BROADBAND
Bulgaria,2017,,,,,,,,,,,,,,,,,,,,
Bulgaria,2018,,,,,,,,,,,,,,,,,,,,
Bulgaria,2019,,,,,,,,,,,,,,,,,,,,
Bulgaria,2020,,,,,,,,,,,,,,,,,,,,
Bulgaria,2021,,,,,,,,,,,,,,,,,,,,
Bulgaria,2022,,,,,,,,,,,,,,,,,,,,
Croatia,2004,,,,,,,,,,,,,,,,,,,,
Croatia,2005,,,,,,,,,,,,,,,,,,,,
Croatia,2006,,,,,,,,,,,,,,,,,,,,
Croatia,2007,,,,,,,,,,,,,,,,,,,,
Croatia,2008,,,,,,,,,,,,,,,,,,,,
Croatia,2009,,,,,,,,,,,,,,,,,,,,
Croatia,2010,,,,,,,,,,,,,,,,,,,,
Croatia,2011,,,,,,,,,,,,,,,,,,,,
Croatia,2012,,,,,,,,,,,,,,,,,,,,
Croatia,2013,,,,,,,,,,,,,,,,,,,,
Croatia,2014,,,,,,,,,,,,,,,,,,,,
Croatia,2015,,,,,,,,,,,,,,,,,,,,
Croatia,2016,,,,,,,,,,,,,,,,,,,,
Croatia,2017,,,,,,,,,,,,,,,,,,,,
Croatia,2018,,,,,,,,,,,,,,,,,,,,
Croatia,2019,,,,,,,,,,,,,,,,,,,,
Croatia,2020,,,,,,,,,,,,,,,,,,,,
Croatia,2021,,,,,,,,,,,,,,,,,,,,
Croatia,2022,,,,,,,,,,,,,,,,,,,,
Georgia,2004,,,,,,,,,,,,,,,,,,,,
Georgia,2005,,,,,,,,,,,,,,,,,,,,
Georgia,2006,,,,,,,,,,,,,,,,,,,,
Georgia,2007,,,,,,,,,,,,,,,,,,,,
Georgia,2008,,,,,,,,,,,,,,,,,,,,
Georgia,2009,,,,,,,,,,,,,,,,,,,,
Georgia,2010,,,,,,,,,,,,,,,,,,,,
Georgia,2011,,,,,,,,,,,,,,,,,,,,
Georgia,2012,,,,,,,,,,,,,,,,,,,,
Georgia,2013,,,,,,,,,,,,,,,,,,,,
Georgia,2014,,,,,,,,,,,,,,,,,,,,
Georgia,2015,,,,,,,,,,,,,,,,,,,,
Georgia,2016,,,,,,,,,,,,,,,,,,,,
Georgia,2017,,,,,,,,,,,,,,,,,,,,
Georgia,2018,,,,,,,,,,,,,,,,,,,,
Georgia,2019,,,,,,,,,,,,,,,,,,,,
Georgia,2020,,,,,,,,,,,,,,,,,,,,
Georgia,2021,,,,,,,,,,,,,,,,,,,,
Georgia,2022,,,,,,,,,,,,,,,,,,,,
Kazakhstan,2004,,,,,,,,,,,,,,,,,,,,
Kazakhstan,2005,,,,,,,,,,,,,,,,,,,,
Kazakhstan,2006,,,,,,,,,,,,,,,,,,,,
Kazakhstan,2007,,,,,,,,,,,,,,,,,,,,
Kazakhstan,2008,,,,,,,,,,,,,,,,,,,,
Kazakhstan,2009,,,,,,,,,,,,,,,,,,,,
Kazakhstan,2010,,,,,,,,,,,,,,,,,,,,
Kazakhstan,2011,,,,,,,,,,,,,,,,,,,,
Kazakhstan,2012,,,,,,,,,,,,,,,,,,,,
Kazakhstan,2013,,,,,,,,,,,,,,,,,,,,
Kazakhstan,2014,,,,,,,,,,,,,,,,,,,,
Kazakhstan,2015,,,,,,,,,,,,,,,,,,,,
Kazakhstan,2016,,,,,,,,,,,,,,,,,,,,
Kazakhstan,2017,,,,,,,,,,,,,,,,,,,,
Kazakhstan,2018,,,,,,,,,,,,,,,,,,,,
Kazakhstan,2019,,,,,,,,,,,,,,,,,,,,
Kazakhstan,2020,,,,,,,,,,,,,,,,,,,,
Kazakhstan,2021,,,,,,,,,,,,,,,,,,,,
Kazakhstan,2022,,,,,,,,,,,,,,,,,,,,
Kyrgyz Republic,2004,,,,,,,,,,,,,,,,,,,,
Kyrgyz Republic,2005,,,,,,,,,,,,,,,,,,,,
Kyrgyz Republic,2006,,,,,,,,,,,,,,,,,,,,
Kyrgyz Republic,2007,,,,,,,,,,,,,,,,,,,,
Kyrgyz Republic,2008,,,,,,,,,,,,,,,,,,,,
Kyrgyz Republic,2009,,,,,,,,,,,,,,,,,,,,
Kyrgyz Republic,2010,,,,,,,,,,,,,,,,,,,,
Kyrgyz Republic,2011,,,,,,,,,,,,,,,,,,,,
Kyrgyz Republic,2012,,,,,,,,,,,,,,,,,,,,
Kyrgyz Republic,2013,,,,,,,,,,,,,,,,,,,,
Kyrgyz Republic,2014,,,,,,,,,,,,,,,,,,,,
Kyrgyz Republic,2015,,,,,,,,,,,,,,,,,,,,
Kyrgyz Republic,2016,,,,,,,,,,,,,,,,,,,,
Kyrgyz Republic,2017,,,,,,,,,,,,,,,,,,,,
Kyrgyz Republic,2018,,,,,,,,,,,,,,,,,,,,
Kyrgyz Republic,2019,,,,,,,,,,,,,,,,,,,,
Kyrgyz Republic,2020,,,,,,,,,,,,,,,,,,,,
Kyrgyz Republic,2021,,,,,,,,,,,,,,,,,,,,
Kyrgyz Republic,2022,,,,,,,,,,,,,,,,,,,,
Moldova,2004,,,,,,,,,,,,,,,,,,,,
Moldova,2005,,,,,,,,,,,,,,,,,,,,
Moldova,2006,,,,,,,,,,,,,,,,,,,,
Moldova,2007,,,,,,,,,,,,,,,,,,,,
Moldova,2008,,,,,,,,,,,,,,,,,,,,
Moldova,2009,,,,,,,,,,,,,,,,,,,,
Moldova,2010,,,,,,,,,,,,,,,,,,,,
Moldova,2011,,,,,,,,,,,,,,,,,,,,
Moldova,2012,,,,,,,,,,,,,,,,,,,,
Moldova,2013,,,,,,,,,,,,,,,,,,,,
Moldova,2014,,,,,,,,,,,,,,,,,,,,
Moldova,2015,,,,,,,,,,,,,,,,,,,,
Moldova,2016,,,,,,,,,,,,,,,,,,,,
Moldova,2017,,,,,,,,,,,,,,,,,,,,
Moldova,2018,,,,,,,,,,,,,,,,,,,,
Moldova,2019,,,,,,,,,,,,,,,,,,,,
Moldova,2020,,,,,,,,,,,,,,,,,,,,
Moldova,2021,,,,,,,,,,,,,,,,,,,,
Moldova,2022,,,,,,,,,,,,,,,,,,,,
Montenegro,2004,,,,,,,,,,,,,,,,,,,,
Montenegro,2005,,,,,,,,,,,,,,,,,,,,
Montenegro,2006,,,,,,,,,,,,,,,,,,,,
Montenegro,2007,,,,,,,,,,,,,,,,,,,,
Montenegro,2008,,,,,,,,,,,,,,,,,,,,
Montenegro,2009,,,,,,,,,,,,,,,,,,,,
Montenegro,2010,,,,,,,,,,,,,,,,,,,,
Montenegro,2011,,,,,,,,,,,,,,,,,,,,
Montenegro,2012,,,,,,,,,,,,,,,,,,,,
Montenegro,2013,,,,,,,,,,,,,,,,,,,,
Montenegro,2014,,,,,,,,,,,,,,,,,,,,
Montenegro,2015,,,,,,,,,,,,,,,,,,,,
Montenegro,2016,,,,,,,,,,,,,,,,,,,,
Montenegro,2017,,,,,,,,,,,,,,,,,,,,
Montenegro,2018,,,,,,,,,,,,,,,,,,,,
Montenegro,2019,,,,,,,,,,,,,,,,,,,,
Montenegro,2020,,,,,,,,,,,,,,,,,,,,
Montenegro,2021,,,,,,,,,,,,,,,,,,,,
Montenegro,2022,,,,,,,,,,,,,,,,,,,,
North Macedonia,2004,,,,,,,,,,,,,,,,,,,,
North Macedonia,2005,,,,,,,,,,,,,,,,,,,,
North Macedonia,2006,,,,,,,,,,,,,,,,,,,,
North Macedonia,2007,,,,,,,,,,,,,,,,,,,,
North Macedonia,2008,,,,,,,,,,,,,,,,,,,,
North Macedonia,2009,,,,,,,,,,,,,,,,,,,,
North Macedonia,2010,,,,,,,,,,,,,,,,,,,,
North Macedonia,2011,,,,,,,,,,,,,,,,,,,,
North Macedonia,2012,,,,,,,,,,,,,,,,,,,,
North Macedonia,2013,,,,,,,,,,,,,,,,,,,,
North Macedonia,2014,,,,,,,,,,,,,,,,,,,,
North Macedonia,2015,,,,,,,,,,,,,,,,,,,,
North Macedonia,2016,,,,,,,,,,,,,,,,,,,,
North Macedonia,2017,,,,,,,,,,,,,,,,,,,,
North Macedonia,2018,,,,,,,,,,,,,,,,,,,,
North Macedonia,2019,,,,,,,,,,,,,,,,,,,,
North Macedonia,2020,,,,,,,,,,,,,,,,,,,,
North Macedonia,2021,,,,,,,,,,,,,,,,,,,,
North Macedonia,2022,,,,,,,,,,,,,,,,,,,,
Romania,2004,,,,,,,,,,,,,,,,,,,,
Romania,2005,,,,,,,,,,,,,,,,,,,,
Romania,2006,,,,,,,,,,,,,,,,,,,,
Romania,2007,,,,,,,,,,,,,,,,,,,,
Romania,2008,,,,,,,,,,,,,,,,,,,,
Romania,2009,,,,,,,,,,,,,,,,,,,,
Romania,2010,,,,,,,,,,,,,,,,,,,,
Romania,2011,,,,,,,,,,,,,,,,,,,,
Romania,2012,,,,,,,,,,,,,,,,,,,,
Romania,2013,,,,,,,,,,,,,,,,,,,,
Romania,2014,,,,,,,,,,,,,,,,,,,,
Romania,2015,,,,,,,,,,,,,,,,,,,,
Romania,2016,,,,,,,,,,,,,,,,,,,,
Romania,2017,,,,,,,,,,,,,,,,,,,,
Romania,2018,,,,,,,,,,,,,,,,,,,,
Romania,2019,,,,,,,,,,,,,,,,,,,,
Romania,2020,,,,,,,,,,,,,,,,,,,,
Romania,2021,,,,,,,,,,,,,,,,,,,,
Romania,2022,,,,,,,,,,,,,,,,,,,,
Russian Federation,2004,,,,,,,,,,,,,,,,,,,,
Russian Federation,2005,,,,,,,,,,,,,,,,,,,,
Russian Federation,2006,,,,,,,,,,,,,,,,,,,,
Russian Federation,2007,,,,,,,,,,,,,,,,,,,,
Russian Federation,2008,,,,,,,,,,,,,,,,,,,,
Russian Federation,2009,,,,,,,,,,,,,,,,,,,,
Russian Federation,2010,,,,,,,,,,,,,,,,,,,,
Russian Federation,2011,,,,,,,,,,,,,,,,,,,,
Russian Federation,2012,,,,,,,,,,,,,,,,,,,,
Russian Federation,2013,,,,,,,,,,,,,,,,,,,,
Russian Federation,2014,,,,,,,,,,,,,,,,,,,,
Russian Federation,2015,,,,,,,,,,,,,,,,,,,,
Russian Federation,2016,,,,,,,,,,,,,,,,,,,,
Russian Federation,2017,,,,,,,,,,,,,,,,,,,,
Russian Federation,2018,,,,,,,,,,,,,,,,,,,,
Russian Federation,2019,,,,,,,,,,,,,,,,,,,,
Russian Federation,2020,,,,,,,,,,,,,,,,,,,,
Russian Federation,2021,,,,,,,,,,,,,,,,,,,,
Russian Federation,2022,,,,,,,,,,,,,,,,,,,,
Serbia,2004,,,,,,,,,,,,,,,,,,,,
Serbia,2005,,,,,,,,,,,,,,,,,,,,
Serbia,2006,,,,,,,,,,,,,,,,,,,,
Serbia,2007,,,,,,,,,,,,,,,,,,,,
Serbia,2008,,,,,,,,,,,,,,,,,,,,
Serbia,2009,,,,,,,,,,,,,,,,,,,,
Serbia,2010,,,,,,,,,,,,,,,,,,,,
Serbia,2011,,,,,,,,,,,,,,,,,,,,
Serbia,2012,,,,,,,,,,,,,,,,,,,,
Serbia,2013,,,,,,,,,,,,,,,,,,,,
Serbia,2014,,,,,,,,,,,,,,,,,,,,
Serbia,2015,,,,,,,,,,,,,,,,,,,,
Serbia,2016,,,,,,,,,,,,,,,,,,,,
Serbia,2017,,,,,,,,,,,,,,,,,,,,
Serbia,2018,,,,,,,,,,,,,,,,,,,,
Serbia,2019,,,,,,,,,,,,,,,,,,,,
Serbia,2020,,,,,,,,,,,,,,,,,,,,
Serbia,2021,,,,,,,,,,,,,,,,,,,,
Serbia,2022,,,,,,,,,,,,,,,,,,,,
Tajikistan,2004,,,,,,,,,,,,,,,,,,,,
Tajikistan,2005,,,,,,,,,,,,,,,,,,,,
Tajikistan,2006,,,,,,,,,,,,,,,,,,,,
Tajikistan,2007,,,,,,,,,,,,,,,,,,,,
Tajikistan,2008,,,,,,,,,,,,,,,,,,,,
Tajikistan,2009,,,,,,,,,,,,,,,,,,,,
Tajikistan,2010,,,,,,,,,,,,,,,,,,,,
Tajikistan,2011,,,,,,,,,,,,,,,,,,,,
Tajikistan,2012,,,,,,,,,,,,,,,,,,,,
Tajikistan,2013,,,,,,,,,,,,,,,,,,,,
Tajikistan,2014,,,,,,,,,,,,,,,,,,,,
Tajikistan,2015,,,,,,,,,,,,,,,,,,,,
Tajikistan,2016,,,,,,,,,,,,,,,,,,,,
Tajikistan,2017,,,,,,,,,,,,,,,,,,,,
Tajikistan,2018,,,,,,,,,,,,,,,,,,,,
Tajikistan,2019,,,,,,,,,,,,,,,,,,,,
Tajikistan,2020,,,,,,,,,,,,,,,,,,,,
Tajikistan,2021,,,,,,,,,,,,,,,,,,,,
Tajikistan,2022,,,,,,,,,,,,,,,,,,,,
Turkmenistan,2004,,,,,,,,,,,,,,,,,,,,
Turkmenistan,2005,,,,,,,,,,,,,,,,,,,,
Turkmenistan,2006,,,,,,,,,,,,,,,,,,,,
Turkmenistan,2007,,,,,,,,,,,,,,,,,,,,
Turkmenistan,2008,,,,,,,,,,,,,,,,,,,,
Turkmenistan,2009,,,,,,,,,,,,,,,,,,,,
Turkmenistan,2010,,,,,,,,,,,,,,,,,,,,
Turkmenistan,2011,,,,,,,,,,,,,,,,,,,,
Turkmenistan,2012,,,,,,,,,,,,,,,,,,,,
Turkmenistan,2013,,,,,,,,,,,,,,,,,,,,
Turkmenistan,2014,,,,,,,,,,,,,,,,,,,,
Turkmenistan,2015,,,,,,,,,,,,,,,,,,,,
Turkmenistan,2016,,,,,,,,,,,,,,,,,,,,
Turkmenistan,2017,,,,,,,,,,,,,,,,,,,,
Turkmenistan,2018,,,,,,,,,,,,,,,,,,,,
Turkmenistan,2019,,,,,,,,,,,,,,,,,,,,
Turkmenistan,2020,,,,,,,,,,,,,,,,,,,,
Turkmenistan,2021,,,,,,,,,,,,,,,,,,,,
Turkmenistan,2022,,,,,,,,,,,,,,,,,,,,
Ukraine,2004,,,,,,,,,,,,,,,,,,,,
Ukraine,2005,,,,,,,,,,,,,,,,,,,,
Ukraine,2006,,,,,,,,,,,,,,,,,,,,
Ukraine,2007,,,,,,,,,,,,,,,,,,,,
Ukraine,2008,,,,,,,,,,,,,,,,,,,,
Ukraine,2009,,,,,,,,,,,,,,,,,,,,
Ukraine,2010,,,,,,,,,,,,,,,,,,,,
Ukraine,2011,,,,,,,,,,,,,,,,,,,,
Ukraine,2012,,,,,,,,,,,,,,,,,,,,
Ukraine,2013,,,,,,,,,,,,,,,,,,,,
Ukraine,2014,,,,,,,,,,,,,,,,,,,,
Ukraine,2015,,,,,,,,,,,,,,,,,,,,
Ukraine,2016,,,,,,,,,,,,,,,,,,,,
Ukraine,2017,,,,,,,,,,,,,,,,,,,,
Ukraine,2018,,,,,,,,,,,,,,,,,,,,
Ukraine,2019,,,,,,,,,,,,,,,,,,,,
Ukraine,2020,,,,,,,,,,,,,,,,,,,,
Ukraine,2021,,,,,,,,,,,,,,,,,,,,
Ukraine,2022,,,,,,,,,,,,,,,,,,,,
Uzbekistan,2004,,,,,,,,,,,,,,,,,,,,
Uzbekistan,2005,,,,,,,,,,,,,,,,,,,,
Uzbekistan,2006,,,,,,,,,,,,,,,,,,,,
Uzbekistan,2007,,,,,,,,,,,,,,,,,,,,
Uzbekistan,2008,,,,,,,,,,,,,,,,,,,,
Uzbekistan,2009,,,,,,,,,,,,,,,,,,,,
Uzbekistan,2010,,,,,,,,,,,,,,,,,,,,
Uzbekistan,2011,,,,,,,,,,,,,,,,,,,,
Uzbekistan,2012,,,,,,,,,,,,,,,,,,,,
Uzbekistan,2013,,,,,,,,,,,,,,,,,,,,
Uzbekistan,2014,,,,,,,,,,,,,,,,,,,,
Uzbekistan,2015,,,,,,,,,,,,,,,,,,,,
Uzbekistan,2016,,,,,,,,,,,,,,,,,,,,
Uzbekistan,2017,,,,,,,,,,,,,,,,,,,,
Uzbekistan,2018,,,,,,,,,,,,,,,,,,,,
Uzbekistan,2019,,,,,,,,,,,,,,,,,,,,
Uzbekistan,2020,,,,,,,,,,,,,,,,,,,,
Uzbekistan,2021,,,,,,,,,,,,,,,,,,,,
Uzbekistan,2022,,,,,,,,,,,,,,,,,,,,
